model,accuracy,precision,recall,f1,roc_auc
LinearSVM,0.6696620126478484,0.1184165232358003,0.7534846674631621,0.2046677664494145,0.7757655435777835
LogisticRegression,0.6756938906174531,0.1194715680643308,0.7455197132616488,0.2059405940594059,0.7756548420448035
MLP,0.7531086075010952,0.1334514957634446,0.6146953405017921,0.2192938836399801,0.7647838161574223
LightGBM,0.7790894897053703,0.134551080501073,0.5368379131819992,0.2151721936230496,0.7590241376133218
XGBoost,0.7729003560717536,0.1323785562221792,0.5448028673835126,0.2130011677695601,0.7585250266365637
KNN,0.7163107821222775,0.1197760072158749,0.6346077260055755,0.2015175466329434,0.7436147838386762
HybridMLGA,0.8289732328394757,0.1282966632667929,0.3506571087216248,0.1878600384040964,0.7354724279535142
StackingEnsemble,0.8449234501892684,0.1306139613120269,0.3092393468737555,0.1836565752128666,0.733236733196861
RandomForest,0.8434407539285834,0.1256298286865972,0.2978892871365989,0.176727702303603,0.7231706839528123
HybridMLDL,0.8388803396722343,0.1081876260928043,0.2562724014336917,0.1521456436931079,0.6432085503150462
DecisionTree,0.8431824053377065,0.1193254407631377,0.2789725209080048,0.1671538507427071,0.6324424920090309
