model,accuracy,precision,recall,f1,roc_auc
StackingEnsemble,0.732,0.7498459642637092,0.6958261863922242,0.7218268090154211,0.8002176796629159
XGBoost,0.7327857142857143,0.75150672229949,0.6951114922813036,0.7222098462909334,0.8001800061812265
HybridMLGA,0.7339285714285714,0.749656540986109,0.7019725557461407,0.7250313722595408,0.7998869040447033
LightGBM,0.7329285714285714,0.7515057915057916,0.6955403087478559,0.7224407987528766,0.7994086181742427
MLP,0.7326428571428572,0.755940204563336,0.6866781017724414,0.7196464684293311,0.7985011688983408
RandomForest,0.7315714285714285,0.7496145544249152,0.6949685534591195,0.7212579735944222,0.7954368821834716
HybridMLDL,0.7231428571428572,0.7149944873208379,0.7415666094911378,0.728038170081392,0.7878807266549311
SVM_RBF,0.7251428571428571,0.7279837775202781,0.7184105202973128,0.7231654676258993,0.7819655104377177
LogisticRegression,0.7137857142857142,0.7313109425785482,0.6753859348198971,0.7022367541056699,0.778089386723065
KNN,0.6614285714285715,0.6712204007285975,0.6320754716981132,0.651060070671378,0.7168551830547536
DecisionTree,0.6562857142857143,0.6505376344086021,0.6745283018867925,0.6623157894736842,0.7109623545999525
